Ventes totales,Column Labels,,,,,
Row Labels,2020,2021,2022,2023,2024,Grand Total
1,1023565.45,1019424.75,1019373.51,1008107.16,1013783.66,5084254.53
2,953488.19,914130.51,910431.32,926532.97,943285.44,4647868.43
3,1015781.37,1021530.14,1016946.28,1033556.59,1019427.01,5107241.39
4,988549.87,977534.57,988888,978488.79,976736.25,4910197.48
5,1001696.33,1011122.43,1020629,1014930.61,586965.49,4635343.86
6,988630.18,991433.74,996858.89,965819.82,,3942742.63
7,1012661.97,1021536.65,1016872.19,1029246.18,,4080316.99
8,1022764.43,1010434.45,1006269.54,1015234.15,,4054702.57
9,989218.28,971126.82,977087.51,985031.04,,3922463.65
10,1008214.78,1023812.22,1008172.01,1019665.03,,4059864.04
11,998095.24,992148.55,983624.09,989565.16,,3963433.04
12,1012884.46,1014676.09,1001880.56,1017350.68,,4046791.79
Grand Total,12015550.55,11968910.92,11947032.9,11983528.18,4540197.85,52455220.4
